사용본거지법정동명	동별 총 대수	휘발유	경유	엘피지	전기	휘발유_유연	휘발유_무연	CNG	하이브리드_휘발유_전기	하이브리드_경유_전기	하이브리드_LPG+전기	하이브리드_CNG+전기	수소	기타연료
서울특별시 구로구 구로동	55,928 	9,175 	22,729 	6,240 	97 	16 	16,239 	245 	1,057 		35 			95 
서울특별시 구로구 가리봉동	2,813 	432 	1,394 	247 	2 	1 	690 		45 		2 			
서울특별시 구로구 고척동	17,248 	3,175 	7,168 	1,640 	16 	3 	4,918 	8 	280 		10 			30 
서울특별시 구로구 개봉동	26,184 	4,905 	10,268 	2,621 	25 	10 	7,713 	93 	486 		18 			45 
서울특별시 구로구 오류동	14,787 	2,640 	5,589 	1,957 	18 	5 	4,250 	2 	290 		12 		2 	22 
서울특별시 구로구 궁동	4,905 	789 	2,124 	557 	2 		1,329 	6 	83 		10 			5 
서울특별시 구로구 온수동	3,432 	639 	1,261 	479 	4 	5 	960 	15 	64 		2 			3 
서울특별시 구로구 천왕동	4,275 	772 	1,585 	610 	2 		1,226 		66 		4 			10 
서울특별시 구로구 항동	2,089 	439 	714 	213 	1 	1 	660 	2 	52 		6 			1 
서울특별시 금천구 가산동	18,839 	3,005 	8,925 	1,020 	50 	10 	5,226 	154 	383 		8 			58 
서울특별시 금천구 독산동	33,383 	5,631 	13,922 	3,826 	40 	17 	9,309 	36 	549 		24 		1 	28 
서울특별시 금천구 시흥동	35,225 	6,000 	14,725 	3,381 	51 	14 	10,178 	230 	566 	1 	30 			49 
서울특별시 영등포구 영등포동	4,307 	900 	1,676 	328 	3 	3 	1,286 	1 	105 		1 			4 
서울특별시 영등포구 영등포동1가	576 	129 	201 	33 	4 	2 	188 		17 		1 			1 
서울특별시 영등포구 영등포동2가	1,473 	226 	770 	79 	1 		354 		30 		2 			11 
서울특별시 영등포구 영등포동3가	475 	88 	176 	49 			155 	2 	4 					1 
서울특별시 영등포구 영등포동4가	527 	118 	182 	83 	7 		127 		8 					2 
서울특별시 영등포구 영등포동5가	521 	109 	217 	54 	2 		131 		8 					
서울특별시 영등포구 영등포동6가	526 	95 	227 	35 			161 		8 					
서울특별시 영등포구 영등포동7가	3,332 	696 	1,414 	170 	6 	1 	953 		83 		1 		1 	7 
서울특별시 영등포구 영등포동8가	1,975 	473 	693 	103 	2 		647 		50 					7 
서울특별시 영등포구 여의도동	22,789 	6,116 	8,283 	475 	552 	5 	6,240 	6 	1,027 		7 		1 	77 
서울특별시 영등포구 당산동1가	1,991 	389 	789 	168 	3 		591 	1 	40 		5 			5 
서울특별시 영등포구 당산동2가	2,118 	435 	851 	116 	1 	3 	642 		49 					21 
서울특별시 영등포구 당산동3가	3,662 	674 	1,537 	265 	40 	2 	1,060 	10 	62 		3 			9 
서울특별시 영등포구 당산동4가	5,203 	1,186 	1,811 	391 	7 	3 	1,598 	55 	144 		3 			5 
서울특별시 영등포구 당산동5가	3,607 	1,036 	1,053 	143 	5 	3 	1,240 		122 		2 		1 	2 
서울특별시 영등포구 당산동6가	1,175 	241 	525 	73 	3 		310 		20 		2 			1 
서울특별시 영등포구 당산동	2,392 	529 	769 	259 	5 	3 	744 	1 	80 					2 
서울특별시 영등포구 도림동	5,981 	1,104 	2,529 	546 	5 	4 	1,635 	22 	124 		5 			7 
서울특별시 영등포구 문래동1가	453 	68 	235 	27 	1 		102 	2 	9 					9 
서울특별시 영등포구 문래동2가	707 	108 	360 	54 			169 		15 					1 
서울특별시 영등포구 문래동3가	6,221 	1,475 	2,271 	281 	5 	1 	1,983 		148 		3 		1 	53 
서울특별시 영등포구 문래동4가	846 	166 	345 	73 		1 	237 		21 		1 			2 
서울특별시 영등포구 문래동5가	2,039 	437 	800 	148 		3 	609 		40 		2 			
서울특별시 영등포구 문래동6가	3,321 	725 	1,188 	266 	3 	5 	1,015 		96 					23 
서울특별시 영등포구 양평동1가	3,053 	384 	1,477 	545 	4 	5 	600 		33 					5 
서울특별시 영등포구 양평동2가	4,117 	543 	2,194 	326 	5 		900 	8 	58 		3 			80 
서울특별시 영등포구 양평동3가	6,213 	1,181 	2,462 	482 	3 	3 	1,880 		176 		13 			13 
서울특별시 영등포구 양평동4가	3,155 	543 	1,566 	201 	4 	1 	754 	5 	73 		4 			4 
서울특별시 영등포구 양평동5가	3,900 	571 	2,186 	226 	7 	2 	814 		84 		1 		1 	8 
서울특별시 영등포구 양평동6가	1,588 	289 	543 	323 	3 		397 	2 	30 		1 			
서울특별시 영등포구 양화동	5 	1 	2 	1 					1 					
서울특별시 영등포구 신길동	27,418 	5,390 	10,724 	2,393 	22 	15 	8,256 	4 	567 		22 		1 	24 
서울특별시 영등포구 대림동	17,065 	2,905 	7,514 	1,829 	11 	4 	4,518 	2 	264 		9 			9 
서울특별시 영등포구 양평동	2 		1 				1 							
서울특별시 동작구 노량진동	8,070 	1,737 	2,937 	691 	26 	3 	2,487 	8 	158 	1 	12 			10 
서울특별시 동작구 상도동	31,431 	7,135 	10,769 	2,532 	52 	10 	10,011 	18 	850 		22 		2 	30 
서울특별시 동작구 상도1동	1,840 	382 	667 	160 	3 		576 		49 		2 			1 
서울특별시 동작구 본동	3,442 	883 	1,096 	234 	7 	3 	1,089 	2 	122 		2 			4 
서울특별시 동작구 흑석동	8,959 	2,293 	2,999 	577 	9 	1 	2,747 	15 	306 		4 			8 
서울특별시 동작구 동작동	1,661 	461 	524 	76 	5 	2 	512 		77 		3 			1 
서울특별시 동작구 사당동	26,380 	6,254 	8,872 	2,043 	40 	7 	8,424 	18 	680 		16 			26 
서울특별시 동작구 대방동	10,838 	2,420 	3,599 	862 	13 	8 	3,603 	17 	297 		4 		1 	14 
서울특별시 동작구 신대방동	13,633 	2,989 	5,288 	932 	27 	5 	4,068 	1 	295 		12 			16 
서울특별시 관악구 봉천동	54,485 	11,343 	19,216 	5,138 	98 	20 	17,208 	53 	1,301 	1 	45 		1 	61 
서울특별시 관악구 신림동	61,146 	11,861 	23,085 	6,390 	60 	28 	18,233 	235 	1,122 		60 		1 	71 
서울특별시 관악구 남현동	5,166 	1,145 	1,809 	405 	6 	3 	1,640 		147 		6 			5 
서울특별시 서초구 방배동	41,961 	12,029 	14,147 	2,107 	80 	17 	11,876 	312 	1,318 	2 	23 		1 	49 
서울특별시 서초구 양재동	26,459 	4,642 	10,869 	1,442 	208 	4 	7,515 	48 	1,611 		10 		16 	94 
서울특별시 서초구 우면동	9,373 	2,404 	3,035 	838 	23 	7 	2,707 	33 	297 		6 		1 	22 
서울특별시 서초구 원지동	168 	30 	87 	15 	1 		32 		3 					
서울특별시 서초구 잠원동	19,152 	6,541 	5,314 	681 	16 	10 	5,895 	2 	671 		4 		1 	17 
서울특별시 서초구 반포동	29,006 	10,062 	8,909 	946 	112 	12 	7,950 	8 	946 		8 		1 	52 
서울특별시 서초구 서초동	48,283 	14,601 	16,272 	1,472 	264 	19 	13,980 	27 	1,497 	1 	15 		4 	131 
서울특별시 서초구 내곡동	3,854 	828 	1,372 	469 	7 		1,054 	12 	99 		3 		2 	8 
서울특별시 서초구 염곡동	854 	113 	351 	95 	2 		160 	110 	19 		2 		1 	1 
서울특별시 서초구 신원동	3,062 	780 	1,111 	222 	10 	2 	842 		83 		3 		1 	8 
서울특별시 강남구 학동	8 	3 	5 											
서울특별시 강남구 역삼동	38,111 	10,089 	11,562 	1,512 	239 	9 	9,916 	11 	4,583 		8 		5 	177 
서울특별시 강남구 포이동	4 	2 	1 				1 							
서울특별시 강남구 개포동	18,528 	5,095 	5,695 	1,258 	26 	5 	5,670 	171 	572 		13 		3 	20 
서울특별시 강남구 청담동	13,683 	4,571 	5,110 	315 	36 	2 	3,287 	8 	315 		4 		1 	34 
서울특별시 강남구 삼성동	21,297 	6,689 	7,002 	896 	73 	5 	5,902 	24 	594 	1 	16 		5 	90 
서울특별시 강남구 대치동	38,750 	10,869 	9,949 	1,523 	3,776 	21 	11,327 	12 	1,225 	1 	12 		2 	33 
서울특별시 강남구 신사동	6,679 	1,968 	2,446 	262 	21 	3 	1,794 		168 		2 			15 
서울특별시 강남구 논현동	21,139 	5,961 	7,725 	938 	30 	10 	5,989 	13 	409 		9 		2 	53 
서울특별시 강남구 압구정동	13,878 	4,783 	4,013 	539 	16 	6 	4,013 	1 	484 	1 	3 		2 	17 
서울특별시 강남구 세곡동	5,607 	1,191 	2,047 	655 	13 	3 	1,487 	18 	165 		8 			20 
서울특별시 강남구 자곡동	8,550 	2,033 	2,778 	837 	24 	1 	2,564 	2 	280 		9 		2 	20 
서울특별시 강남구 율현동	3,838 	818 	1,699 	353 	9 	1 	870 	1 	82 		1 			4 
서울특별시 강남구 일원동	13,661 	3,345 	3,694 	2,051 	16 	6 	4,082 	10 	435 		10 		1 	11 
서울특별시 강남구 수서동	8,100 	2,081 	2,600 	673 	15 	2 	2,431 	2 	278 		7 		3 	8 
서울특별시 강남구 도곡동	22,493 	8,272 	6,457 	541 	47 	8 	6,328 	4 	729 		5 		1 	101 
서울특별시 송파구 잠실동	36,874 	11,653 	10,834 	1,712 	54 	13 	11,333 	12 	1,170 	1 	17 		2 	73 
서울특별시 송파구 신천동	19,079 	4,877 	8,070 	611 	63 	6 	4,856 	12 	515 	1 	16 			52 
서울특별시 송파구 풍납동	12,263 	2,678 	4,111 	1,332 	25 	4 	3,790 	7 	301 		2 			13 
서울특별시 송파구 송파동	15,410 	3,640 	5,506 	1,062 	16 	6 	4,753 	4 	394 		14 			15 
서울특별시 송파구 석촌동	10,752 	2,325 	4,072 	1,022 	18 	6 	3,034 	1 	250 		10 			14 
서울특별시 송파구 삼전동	9,734 	2,066 	3,539 	919 	19 	2 	2,968 	2 	192 		4 			23 
서울특별시 송파구 가락동	32,491 	7,623 	11,741 	2,092 	50 	14 	9,907 	14 	985 		23 		2 	40 
서울특별시 송파구 문정동	31,121 	7,100 	11,610 	2,646 	40 	10 	8,817 	20 	809 	2 	17 		3 	47 
서울특별시 송파구 장지동	16,093 	3,302 	5,201 	1,703 	42 	10 	4,609 	665 	511 		13 	4 		33 
서울특별시 송파구 방이동	21,293 	5,609 	7,123 	1,407 	35 	12 	6,398 	8 	631 		25 		2 	43 
서울특별시 송파구 오금동	14,312 	3,143 	5,248 	1,106 	14 	10 	4,284 	130 	352 		5 			20 
서울특별시 송파구 거여동	9,316 	1,766 	3,580 	966 	8 	3 	2,776 	4 	195 	1 	7 			10 
서울특별시 송파구 마천동	12,230 	2,007 	5,013 	1,698 	21 	5 	3,168 	109 	179 	1 	7 			22 
서울특별시 강동구 명일동	12,578 	2,967 	4,130 	937 	14 	5 	4,162 	5 	339 		5 			14 
서울특별시 강동구 고덕동	11,439 	2,667 	4,090 	878 	28 	3 	3,413 	5 	326 		9 			20 
서울특별시 강동구 상일동	6,402 	1,351 	2,402 	597 	7 	3 	1,848 	3 	170 		4 			17 
서울특별시 강동구 길동	15,830 	2,873 	5,641 	2,796 	18 	6 	4,160 	10 	303 		4 			19 
서울특별시 강동구 둔촌동	9,542 	2,015 	3,368 	1,088 	15 	1 	2,806 	3 	225 		7 		1 	13 
서울특별시 강동구 암사동	21,641 	4,588 	7,688 	2,159 	19 	8 	6,604 	5 	520 		19 		1 	30 
서울특별시 강동구 성내동	22,477 	4,325 	8,511 	2,413 	59 	10 	6,620 	19 	464 	1 	6 		1 	48 
서울특별시 강동구 천호동	27,077 	5,325 	10,570 	3,009 	20 	10 	7,536 	5 	529 		16 			57 
서울특별시 강동구 강일동	8,032 	1,449 	2,764 	1,145 	21 	3 	2,240 	197 	181 		9 	2 		21 
합계	3,124,289 	684,028 	1,140,532 	279,713 	10,175 	1,123 	912,470 	9,607 	78,778 	31 	1,939 	51 	143 	5,699 
