사용본거지법정동명	동별 총 대수	휘발유	경유	엘피지	전기	휘발유_유연	휘발유_무연	CNG	하이브리드_휘발유_전기	하이브리드_경유_전기	하이브리드_LPG+전기	하이브리드_CNG+전기	수소	기타연료
서울특별시 용산구 주성동	296 	60 	116 	37 	1 		77 		4 		1 			
서울특별시 용산구 용산동6가	57 	2 	46 				8 		1 					
서울특별시 용산구 보광동	3,162 	703 	1,156 	315 	4 	4 	911 		67 				1 	1 
서울특별시 성동구 상왕십리동	1,227 	317 	463 	52 	2 	1 	345 		41 		2 			4 
서울특별시 성동구 하왕십리동	9,109 	2,246 	3,240 	557 	11 	3 	2,794 	1 	240 		4 			13 
서울특별시 성동구 홍익동	1,050 	189 	482 	75 	2 		274 	10 	17 				1 	
서울특별시 성동구 도선동	1,129 	226 	484 	88 	1 		305 	2 	21 					2 
서울특별시 성동구 마장동	8,274 	1,241 	3,730 	1,174 	31 	2 	1,937 	2 	140 		9 			8 
서울특별시 성동구 사근동	1,213 	221 	470 	160 	1 		337 		24 					
서울특별시 성동구 행당동	12,444 	3,022 	4,234 	791 	50 	7 	3,907 	10 	390 		7 		1 	25 
서울특별시 성동구 응봉동	4,636 	1,132 	1,605 	304 	1 	3 	1,445 	2 	133 		2 			9 
서울특별시 성동구 금호동1가	4,909 	1,144 	1,678 	424 	7 	3 	1,494 		149 		2 			8 
서울특별시 성동구 금호동2가	2,958 	756 	1,115 	165 	10 	5 	812 	1 	90 		1 			3 
서울특별시 성동구 금호동3가	3,376 	832 	1,231 	242 	4 	1 	988 		71 					7 
서울특별시 성동구 금호동4가	4,515 	1,226 	1,566 	244 	12 	1 	1,296 		158 		2 			10 
서울특별시 성동구 옥수동	8,688 	2,592 	2,878 	317 	19 	4 	2,532 	11 	310 		7 		2 	16 
서울특별시 성동구 성수동1가	15,508 	2,670 	5,823 	1,211 	294 	2 	4,904 	331 	240 		13 			20 
서울특별시 성동구 성수동2가	15,190 	2,747 	6,371 	1,609 	23 	5 	3,999 	112 	294 		5 			25 
서울특별시 성동구 송정동	2,968 	496 	1,232 	336 	8 		830 	3 	56 		2 			5 
